song,bpm,key,distance
UNMD - After Sa MÃ¨re (Lilith â€  ADâ€ AM Resurection).mp3,145,F#,0.0
Trepidation.mp3,150,Bm,86.90571704843917
Thalassophobia.mp3,153,Fm,38.64875170025488
Arman John - Phased Reality.mp3,156,Em,28.32689172462614
Folcoch - Not So Bad.mp3,150,Em,31.13432883061511
Migos - Walk It Talk It (DURDENHAUER Edit) [FREE DOWNLOAD].mp3,155,Em,32.74540773593074
Ascendant Vierge - Influenceur (Nyctonian Industrial Remix)[FREE WAV DOWNLOAD].mp3,160,Bm,31.605715749524364
Oliver Tree - Miss You (Nyctonian Tech Pop  Techno Remix)[OUT ON SPOTIFY ETC!].mp3,155,F#m,31.11372737154716
Ayo Technology (KÃ¸lab Rave Edit).mp3,163,F#m,39.62420536108513
LÃ„UFF Ft. Suzy Phosphore - Attrape-Moi [SINDEXVA005].mp3,160,Gm,32.418947252598954
Pawlowski - Demonic Dimensions [Oldschool Mix]  Possession exclusivity.mp3,165,C,45.03189252305113
DJ Traytex X 1luu - No Signs.mp3,155,Gm,47.50728318424903
POUMTICA - REMIX WEJDENE JE T'AIME DE OUF[FREE DOWNLOAD].mp3,150,A#m,42.962502039834355
Live attack.mp3,156,A#m,34.87639784370937
Voyage.mp3,155,G#,66.42531597016323
Wick x Jasic - All The Things She Said (Schranz Edit) [MORC009] ~ free dl.mp3,160,D#m,44.07069263495146
"Mika - Relax, Take It Easy (E11 Rave Edit) [FREE DOWNLOAD].mp3",150,D#m,41.49871878616055
Trois Nuits.mp3,157,F,49.85038514328254
YGNOR - Disruptive Element [JAH030].mp3,155,F#m,45.97337912132798
RAÃ‹L - Schmieren [SINDEX018].mp3,155,A#,46.585062159668766
AMRK - Exhausted (ft. Dr. Pops) [FREE DL].mp3,160,F#m,40.34621958706188
PREMIERE Kylie Minogue - My Head (Dallaniel EDIT)[Frenetik].mp3,160,F#m,37.03562563083275
Premiere  MATRAKK - Walk After Woman.mp3,155,F#m,51.81251163286133
MATRAKK ft Morgane Rey - Mon Amour.mp3,160,F#m,35.33303355534549
Nyctonian x OGUZ - GOLDEN SZN.mp3,155,G#,59.7909043693478
Ascendant Vierge - Influenceur (Onelas Edit) FREE DL.mp3,150,G,36.111076110213745
Cooler Than Me.mp3,146,Em,42.02250736667422
Matrakk - You Got The Trance.mp3,154,C#m,36.31834133222651
Matrakk - 69 Carats [UFR001].mp3,155,F#m,40.7275278115048
SCH - Autobahn (Ã†DE Remix - FREE DL).mp3,148,G#,59.06863146696814
Freeze Corleone - Jour De Plus (Ã˜KKY Techno edit).mp3,150,Cm,55.117107798261976
Naps - Dreamlife feat. SCH (Just Pedro Techno Remix).mp3,140,Cm,32.85743625819582
Gazo - Tchin 2x (Just Pedro Techno Edit).mp3,146,C#m,57.735247471224554
JaÃ«ss - Kick Dans Ton Cor.mp3,155,C#m,42.495196973228516
Sum41 - Still Waiting (1luu Bootleg).mp3,175,C#m,66.50676256390584
Faithless - Insomnia [ Techno Remix by brxndy ].mp3,165,Fm,62.947520820739456
Damso - Morose (RETSA flip).mp3,155,F#m,66.33167274735308
Booba x Kaaris - Kalash (Hyperpop remix).mp3,138,Fm,62.34690376167418
Vois sur ton chemin (Techno Mix).mp3,138,Bm,54.583818748839406
Armin van Buuren - Computers Take Over The World.mp3,140,F,59.51161681048944
Kenya Grace - Strangers (K1LO '2000s' Techno Remix).mp3,150,G#m,67.22357551663976
Freeze Corleone - Freeze RaÃ«l (Ã˜KKY Techno edit).mp3,160,Bm,63.85382512155894
Fly Away On The Wings Of The Wind (PEACEðŸ•Š EDIT).mp3,159,D#,81.29050371772828
Alignment - Future Dancefloor [VNR043  A2].mp3,142,Fm,79.45346036594385
BICEP - Glue (Rialians On Earth Remix  ACOR HT Rework) [MORC014].mp3,150,F#,112.35058364440586
Saint Anne [ABR038].mp3,170,A,145.26478634274937
